epoch,train_loss,val_loss,pq,best_cutoff,minutes
1,1.2997,1.207,,,2.79
2,1.1579,1.1013,,,2.79
3,1.0684,1.04,,,2.8
4,0.9975,1.2558,,,2.79
5,0.9233,0.9009,0.2082,0.85,3.87
6,0.8218,0.7523,,,2.83
7,0.703,0.6428,,,2.81
8,0.5864,0.5834,,,2.84
9,0.5164,0.7951,,,2.82
10,0.4736,0.4461,0.3025,0.95,3.95
11,0.4557,0.4684,,,2.8
12,0.4427,0.4458,,,2.81
13,0.4325,0.4461,,,2.81
14,0.4239,0.4385,,,2.82
15,0.4142,0.4131,0.3165,0.95,3.68
16,0.4149,0.4746,,,2.83
17,0.4157,0.4026,,,2.8
18,0.3985,0.4074,,,2.81
19,0.3987,0.4207,,,2.81
20,0.4053,0.4074,0.3127,0.95,3.75
21,0.394,0.3949,,,2.8
22,0.3915,0.3861,,,2.79
23,0.3914,0.3845,,,2.79
24,0.3903,0.3797,,,2.8
25,0.386,0.4054,0.315,0.95,3.72
26,0.3845,0.4036,,,2.8
27,0.3812,0.3805,,,2.81
28,0.3746,0.3791,,,2.81
29,0.3766,0.3872,,,2.8
30,0.3776,0.3711,0.337,0.95,3.78
31,0.3737,0.3766,,,2.8
32,0.3737,0.3752,,,2.8
33,0.3665,0.3819,,,2.81
34,0.3714,0.3722,,,2.8
35,0.3673,0.3749,0.3393,0.95,3.61
36,0.3645,0.3863,,,2.8
37,0.3647,0.3694,,,2.8
38,0.3624,0.3734,,,2.79
39,0.3626,0.3738,,,2.79
40,0.3626,0.3713,0.3369,0.95,3.63
41,0.3614,0.3735,,,2.82
42,0.3568,0.3726,,,2.81
43,0.3605,0.374,,,2.83
44,0.3584,0.371,,,2.83
45,0.3569,0.3794,0.3302,0.95,3.68
46,0.3553,0.3744,,,2.81
47,0.3556,0.3727,,,2.81
48,0.3555,0.3743,,,2.82
49,0.3561,0.3729,,,2.82
50,0.3524,0.3706,0.3424,0.95,3.69
