epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.2186,4.802,0.1667,0.1667,1.0,0.2857
2,0.1513,0.1447,0.9433,1.0,0.66,0.7952
3,0.1291,0.0632,0.99,0.9896,0.95,0.9694
4,0.1575,0.0692,0.99,0.97,0.97,0.97
5,0.1143,0.0609,0.9767,0.9886,0.87,0.9255
6,0.1026,0.3139,0.8467,0.5211,0.99,0.6828
7,0.0805,0.2154,0.9517,0.7752,1.0,0.8734
8,0.1035,0.0516,0.985,0.9892,0.92,0.9534
9,0.0874,0.0367,0.9967,0.99,0.99,0.99
10,0.077,0.1138,0.965,0.8496,0.96,0.9014
11,0.0697,0.2311,0.93,0.7071,0.99,0.825
12,0.0748,0.0341,0.985,0.9691,0.94,0.9543
13,0.0946,0.6445,0.7217,0.3745,1.0,0.545
14,0.0824,0.0524,0.9867,0.951,0.97,0.9604
15,0.1013,0.4678,0.7867,0.4381,0.99,0.6074
